Mass,Radius,Predicted Values
5.696026596e+28,67917608.145,36082881853.05312
1.5189404256e+29,77926518.81899999,36156538683.618164
1.8986755319999998e+29,90080196.066,36186001415.844185
7.4048345748e+28,140839671.627,36096140082.55483
9.113642553599999e+28,69347452.527,36109398312.05654
4.1770861704e+28,127256149.998,36071096760.16271
1.21515234048e+29,71492219.1,36132968497.83736
1.974623508e+27,5147439775.2,36040219817.530594
1.21515234048e+29,71492219.1,36132968497.83736
3.987218617199999e+28,98659262.358,36069623623.551414
8.9237750004e+28,69347452.527,36107925175.44524
1.2910993617600001e+29,72207141.29100001,36138861044.282555
1.1581920745199998e+29,72207141.29100001,36128549088.00345
5.3162914895999995e+28,100804028.931,36079935579.83052
7.2149670216e+28,107953250.841,36094666945.94353
1.0632582979199999e+29,70777296.90900001,36121183404.946945
1.27211260644e+29,72207141.29100001,36137387907.67126
1.424006649e+29,75066830.055,36149173000.56166
1.36704638304e+29,73636985.67300001,36144753590.72776
4.9365563832e+28,70062374.71800001,36076989306.60792
7.784569681199998e+28,67202685.954,36099086355.777435
7.0250994684e+28,67202685.954,36093193809.33223
8.1643047876e+28,67202685.954,36102032629.00004
1.3480596277199998e+29,73636985.67300001,36143280454.11646
